"filename", "language", "Dart", "Swift", "JSON", "XML", "Markdown", "YAML", "C++", "CMake", "HTML", "Groovy", "Properties", "comment", "blank", "total"
"e:\new\bekam\README.md", "Markdown", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 6, 19
"e:\new\bekam\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 23, 4, 30
"e:\new\bekam\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 5, 13, 74
"e:\new\bekam\android\app\google-services.json", "JSON", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46
"e:\new\bekam\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"e:\new\bekam\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 6, 1, 19
"e:\new\bekam\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"e:\new\bekam\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"e:\new\bekam\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"e:\new\bekam\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"e:\new\bekam\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"e:\new\bekam\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"e:\new\bekam\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"e:\new\bekam\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"e:\new\bekam\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"e:\new\bekam\assets\svg\img_close_gray_400_01.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\new\bekam\assets\svg\img_close_onprimarycontainer.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\new\bekam\assets\svg\img_facebook.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\new\bekam\assets\svg\img_flag.svg", "XML", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"e:\new\bekam\assets\svg\img_google.svg", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\new\bekam\assets\svg\img_icon_l.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\new\bekam\assets\svg\img_icon_primary.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\new\bekam\assets\svg\img_location_gray_400_01.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\new\bekam\assets\svg\img_location_teal_700.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\new\bekam\assets\svg\img_settings.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\new\bekam\assets\svg\img_vector.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\new\bekam\assets\svg\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\new\bekam\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"e:\new\bekam\ios\Runner\AppDelegate.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\new\bekam\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"e:\new\bekam\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"e:\new\bekam\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"e:\new\bekam\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"e:\new\bekam\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"e:\new\bekam\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"e:\new\bekam\ios\firebase_app_id_file.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"e:\new\bekam\lib\core\bloc_observer\bloc_observer.dart", "Dart", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 37
"e:\new\bekam\lib\core\di\get_initializer.dart", "Dart", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 13, 75
"e:\new\bekam\lib\core\helper\auth_guard.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 4, 32
"e:\new\bekam\lib\core\helper\custom_scroll_behaviour.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 15
"e:\new\bekam\lib\core\helper\localization_extension.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 15
"e:\new\bekam\lib\core\helper\logger_helper.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 30
