"filename", "language", "Swift", "XML", "YAML", "Dart", "CMake", "C++", "JSON", "comment", "blank", "total"
"e:\new\bekam\lib\data\model\registeration_type.dart", "Dart", 0, 0, 0, -1, 0, 0, 0, 0, -1, -2
"e:\new\bekam\lib\data\model\search_result_model.dart", "Dart", 0, 0, 0, -161, 0, 0, 0, 0, -24, -185
"e:\new\bekam\lib\data\model\store_model\store_model.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 7, 28
"e:\new\bekam\lib\data\repository\api_result.dart", "Dart", 0, 0, 0, -9, 0, 0, 0, 0, -4, -13
"e:\new\bekam\lib\data\repository\api_result.freezed.dart", "Dart", 0, 0, 0, -290, 0, 0, 0, -18, -47, -355
"e:\new\bekam\lib\data\repository\banner_repo.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 16, 8, 51
"e:\new\bekam\lib\data\repository\categories.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 17, 6, 50
"e:\new\bekam\lib\data\repository\latest_product_repo.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 16, 8, 49
"e:\new\bekam\lib\data\repository\network_exception.dart", "Dart", 0, 0, 0, -148, 0, 0, 0, -7, -24, -179
"e:\new\bekam\lib\data\repository\network_exception.freezed.dart", "Dart", 0, 0, 0, -3519, 0, 0, 0, -66, -277, -3862
"e:\new\bekam\lib\data\repository\popular_product_repo.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 16, 8, 50
"e:\new\bekam\lib\data\repository\serach_repo.dart", "Dart", 0, 0, 0, -36, 0, 0, 0, -4, -7, -47
"e:\new\bekam\lib\data\repository\set_model_repo.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 16, 8, 51
"e:\new\bekam\lib\data\webServices\search_webservices.dart", "Dart", 0, 0, 0, -17, 0, 0, 0, 0, -5, -22
"e:\new\bekam\lib\data\webServices\search_webservices.g.dart", "Dart", 0, 0, 0, -96, 0, 0, 0, -5, -14, -115
"e:\new\bekam\lib\data\web_services\delete.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 12, 3, 42
"e:\new\bekam\lib\data\web_services\dio_factory.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 10, 3, 38
"e:\new\bekam\lib\data\web_services\get.dart", "Dart", 0, 0, 0, 31, 0, 0, 0, 15, 4, 50
"e:\new\bekam\lib\data\web_services\http_request.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 10, 2, 24
"e:\new\bekam\lib\data\web_services\post.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 13, 3, 45
"e:\new\bekam\lib\data\web_services\put.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 13, 3, 45
"e:\new\bekam\lib\firebase_options.dart", "Dart", 0, 0, 0, 65, 0, 0, 0, 11, 7, 83
"e:\new\bekam\lib\json\Popular items.json", "JSON", 0, 0, 0, 0, 0, 0, 1345, 0, 0, 1345
"e:\new\bekam\lib\json\banner.json", "JSON", 0, 0, 0, 0, 0, 0, 52, 0, 0, 52
